Company,Period,NewR,CurrR,Date,Symbol
Target Corp.,2016,5.00 - 5.10, 5.10 - 5.30,2017-01-18,TGT
Target Corp.,4Q16,1.45 - 1.55, 1.55 - 1.75,2017-01-18,TGT
Advanced Drainage Systems Inc.,FY17,$1.225 - $1.250 Bln, $1.270 - $1.310 Bln,2017-01-12,WMS
Deluxe Corp.,Q4 16,$478 - $481 Mln, $481 - $491 Mln,2017-01-06,DLX
Deluxe Corp.,FY16,$1.847 - $1.850 Bln, $1.850 - $1.860 Bln,2017-01-06,DLX
Macy's Inc.,2016,2.95 - 3.10, 3.15 - 3.40,2017-01-04,M
Kohl`s Corp.,FY 16,3.60 - 3.65 , 3.80 - 4.00 ,2017-01-04,KSS
UniFirst Corp,FY17,4.85 - 5.00, 5.00 - 5.15,2017-01-04,UNF
Red Hat Inc.,FY17,$2.397 - $2.405 Bln, $2.415 - $2.435 Bln,2016-12-21,RHT
Accenture plc,2017,5.64 - 5.87, 5.75 - 5.98,2016-12-21,ACN
JAKKS Pacific,2016,$700 Mln, $755 Mln,2016-12-16,JAKK
Lululemon Athletica Inc.,2016,$2.320 Bln - $2.340 Bln, $2.325 Bln - $2.350 Bln,2016-12-07,LULU
Kroger Co.,2016,2.10 - 2.15, 2.10 - 2.20,2016-12-01,KR
Guess? Inc.,FY17,0.42 - 0.52, 0.62 - 0.75,2016-11-30,GES
Dollar Tree Inc.,2016,3.67 - 3.76, 3.67 - 3.82 ,2016-11-22,DLTR
Dollar Tree Inc.,2016,$20.67 - $20.77 Bln, $20.69 - $20.87 Bln,2016-11-22,DLTR
Patterson Companies Inc.,FY 17,2.25 - 2.35, 2.60 - 2.70 ,2016-11-22,PDCO
Canadian Solar Inc.,2016,$2.78 - $2.94 Bln, $3.0 - $3.2 Bln,2016-11-21,CSIQ
Hibbett Sports  Inc.,2017,2.82 - 2.88, 2.93 - 3.02,2016-11-18,HIBB
Williams-Sonoma Inc.,2016,3.35 - 3.45, 3.35 - 3.55,2016-11-17,WSM
Williams-Sonoma Inc.,2016,$5070 Mln - $5150 Mln, $5075 Mln - $5225 Mln,2016-11-17,WSM
Stage Stores Inc,FY 16,(-0.15) - (-0.40), 0.20 - 0.40 ,2016-11-17,SSI
Lowe's Cos.,FY 16,$3.52, $4.06,2016-11-16,LOW
Teva Pharmaceutical Industries Limited,2016,5.10 - 5.20 , 5.20 - 5.40 ,2016-11-15,TEVA
Teva Pharmaceutical Industries Limited,2016,$21.6 - $21.9 Bln, $22.0 - $22.5 Bln,2016-11-15,TEVA
Clean Diesel Technologies Inc.,2016,$37 - $39 Mln, $39 - $43 Mln,2016-11-14,CDTI
Photronics Inc.,Q4 16,0.02 - 0.03, 0.09 - 0.17,2016-11-10,PLAB
Photronics Inc.,Q4 16,$107 Mln, $118 Mln - $128 Mln,2016-11-10,PLAB
Nordstrom Inc.,2016,1.70 - 1.80, 2.60 - 2.75,2016-11-10,JWN
SunPower Corporation,2016,$2.6 Bln - $2.8 Bln, $3.0 Bln - $3.2 Bln,2016-11-09,SPWR
Avid Technology Inc,2016,$502 Mln - $517 Mln, $535 Mln - $565 Mln,2016-11-09,AVID
Arctic Cat Inc,2017,(-1.00) - (-1.40), (-0.70) - (-1.00),2016-11-09,ACAT
"Vishay Precision Group, Inc.",FY 16,0.70 - 0.75 , 0.70 - 0.80 ,2016-11-08,VPG
CVS Health Corp.,2016,5.77 - 5.83, 5.81 - 5.89,2016-11-08,CVS
Valeant Pharmaceuticals International,2016,5.30 - 5.50, 6.60 - 7.00,2016-11-08,VRX
Valeant Pharmaceuticals International,2016,$9.55 - $9.65 Bln, $9.9 - $10.1 Bln,2016-11-08,VRX
PerkinElmer,2016,2.75 - 2.77, 2.75 - 2.85,2016-11-07,PKI
ITT Corporation,2016,2.20 - 2.30, 2.34 - 2.46,2016-11-04,ITT
Fossil Inc,2016,1.30 - 1.80, 1.80 - 2.65,2016-11-03,FOSL
GoPro Inc.,FY16,$1.25 - $1.3 Bln, $1.35 - $1.5 Bln,2016-11-03,GPRO
Fluor Corp.,2016,2.20 - 2.40, 3.25 - 3.50,2016-11-03,FLR
Ligand Pharmaceuticals Inc,FY16,$110 - $114 Mln, $115 - $119 Mln,2016-11-03,LGND
Ligand Pharmaceuticals Inc,FY16,3.37 - 3.44, 3.41 - 3.46,2016-11-03,LGND
TreeHouse Foods,2016,2.80 - 2.85 , 3.00 - 3.10 ,2016-11-03,THS
Gildan Activewear Inc.,2016,1.48 - 1.50, 1.50 - 1.55,2016-11-03, GIL
Ansys Inc,FY 16,$981.0 - $990.0 Mln, $990 - $1010 Mln,2016-11-03,ANSS
